Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH3
1.29503110e-02,0.0600001,0.03
1.29503120e-02,0.0600001,0.03
1.29503130e-02,0.0600001,0.01
1.29503140e-02,0.0600001,0.01
1.29503150e-02,0.0600001,0.01
1.29503160e-02,0.0800001,0.03
1.29503170e-02,0.0600001,0.03
1.29503180e-02,0.0600001,0.01
1.29503190e-02,0.0400001,0.03
1.29503200e-02,0.0400001,0.01
1.29503210e-02,0.0400001,0.01
1.29503220e-02,0.0600001,0.01
1.29503230e-02,0.0600001,0.01
1.29503240e-02,0.0800001,-0.00999996
1.29503250e-02,0.0800001,0.01
1.29503260e-02,0.0800001,0.03
1.29503270e-02,0.0600001,0.03
1.29503280e-02,0.0600001,0.03
1.29503290e-02,0.0600001,0.03
1.29503300e-02,0.0800001,0.01
1.29503310e-02,0.0800001,0.03
1.29503320e-02,0.0600001,0.03
1.29503330e-02,0.0600001,0.03
1.29503340e-02,0.0600001,0.03
1.29503350e-02,0.0600001,0.03
1.29503360e-02,0.0800001,0.01
1.29503370e-02,0.0600001,0.01
1.29503380e-02,0.0600001,0.01
1.29503390e-02,0.0600001,0.01
1.29503400e-02,0.0800001,-0.00999996
1.29503410e-02,0.0600001,0.01
1.29503420e-02,0.0600001,-0.00999996
1.29503430e-02,0.0600001,0.01
1.29503440e-02,0.0800001,-0.00999996
1.29503450e-02,0.0600001,0.01
1.29503460e-02,0.0600001,0.01
1.29503470e-02,0.0600001,0.01
1.29503480e-02,0.0600001,0.03
1.29503490e-02,0.0600001,0.01
1.29503500e-02,0.0600001,0.01
1.29503510e-02,0.0600001,0.01
1.29503520e-02,0.0800001,0.01
1.29503530e-02,0.0600001,0.01
1.29503540e-02,0.0400001,0.03
1.29503550e-02,0.0400001,0.03
1.29503560e-02,0.0600001,0.03
1.29503570e-02,0.0400001,0.03
1.29503580e-02,0.0600001,-0.00999996
1.29503590e-02,0.0400001,0.01
1.29503600e-02,0.0600001,-0.00999996
1.29503610e-02,0.0400001,0.01
1.29503620e-02,0.0400001,0.01
1.29503630e-02,0.0400001,0.03
1.29503640e-02,0.0600001,0.01
1.29503650e-02,0.0400001,0.01
1.29503660e-02,0.0600001,0.01
1.29503670e-02,0.0400001,0.03
1.29503680e-02,0.0600001,0.03
1.29503690e-02,0.0600001,0.01
1.29503700e-02,0.0600001,0.01
1.29503710e-02,0.0400001,0.01
1.29503720e-02,0.0400001,-0.00999996
1.29503730e-02,0.0400001,0.01
1.29503740e-02,0.0600001,0.03
1.29503750e-02,0.0600001,0.01
1.29503760e-02,0.0600001,0.03
1.29503770e-02,0.0400001,0.03
1.29503780e-02,0.0400001,0.03
1.29503790e-02,0.0600001,0.03
1.29503800e-02,0.0600001,0.03
1.29503810e-02,0.0600001,0.01
1.29503820e-02,0.0600001,0.01
1.29503830e-02,0.0600001,0.01
1.29503840e-02,0.0600001,0.01
1.29503850e-02,0.0600001,0.03
1.29503860e-02,0.0600001,0.03
1.29503870e-02,0.0600001,0.03
1.29503880e-02,0.0800001,0.03
1.29503890e-02,0.0800001,0.03
1.29503900e-02,0.0800001,0.01
1.29503910e-02,0.0600001,0.03
1.29503920e-02,0.0600001,0.01
1.29503930e-02,0.0600001,0.01
1.29503940e-02,0.0600001,0.01
1.29503950e-02,0.0600001,0.03
1.29503960e-02,0.0600001,0.01
1.29503970e-02,0.0600001,0.03
1.29503980e-02,0.0600001,0.03
1.29503990e-02,0.0600001,0.03
1.29504000e-02,0.0600001,0.01
1.29504010e-02,0.0600001,0.01
