Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
9.5097500e-04,0,-0.01
9.5097600e-04,0,-0.01
9.5097700e-04,0,-0.01
9.5097800e-04,0.02,-0.01
9.5097900e-04,0.02,-0.01
9.5098000e-04,0.02,0.01
9.5098100e-04,0.02,0.03
9.5098200e-04,0,0.01
9.5098300e-04,0,0.01
9.5098400e-04,0,0.01
9.5098500e-04,0,0.01
9.5098600e-04,0,0.01
9.5098700e-04,-0.02,0.01
9.5098800e-04,0,0.01
9.5098900e-04,0.02,0.01
9.5099000e-04,0.02,-0.01
9.5099100e-04,0,0.01
9.5099200e-04,0,0.01
9.5099300e-04,0,0.03
9.5099400e-04,0,0.01
9.5099500e-04,0,0.03
9.5099600e-04,0,0.01
9.5099700e-04,0,0.01
9.5099800e-04,0,0.01
9.5099900e-04,0,0.01
9.5100000e-04,0,0.01
9.5100100e-04,0,0.01
9.5100200e-04,0.02,0.03
9.5100300e-04,0.02,0.03
9.5100400e-04,0,0.01
9.5100500e-04,0,0.01
9.5100600e-04,0.02,-0.01
9.5100700e-04,0,0.01
9.5100800e-04,0,0.01
9.5100900e-04,0,0.01
9.5101000e-04,0,0.01
9.5101100e-04,0,0.01
9.5101200e-04,0,0.01
9.5101300e-04,-0.02,0.01
9.5101400e-04,0,0.01
9.5101500e-04,0,0.01
9.5101600e-04,0,0.01
9.5101700e-04,0,0.03
9.5101800e-04,0,0.01
9.5101900e-04,0,0.03
9.5102000e-04,0,0.01
9.5102100e-04,0,0.01
9.5102200e-04,0,0.01
9.5102300e-04,0,0.01
9.5102400e-04,-0.02,0.01
9.5102500e-04,0,-0.01
9.5102600e-04,0,-0.01
9.5102700e-04,0,-0.01
9.5102800e-04,0,-0.01
9.5102900e-04,0,-0.01
9.5103000e-04,0,-0.01
