Time (s),Signal strength,Bx (µT),By (µT),Bz (µT),Voltage (mV)
13.380000114440918,35,129.81301879882812,32.363243103027344,-549.0496826171875,-0.013605442829430103
13.390000343322754,35,127.63928985595703,32.17388153076172,-550.6439819335938,-0.013605442829430103
13.399999618530273,34,125.47238159179688,31.961782455444336,-552.23828125,-0.013597182929515839
13.40999984741211,35,123.31178283691406,31.740684509277344,-553.8421020507812,-0.01357627660036087
13.420000076293945,36,121.12944793701172,31.517980575561523,-555.3900756835938,-0.013547160662710667
13.430000305175781,35,118.9143295288086,31.28716278076172,-556.8834228515625,-0.013513531535863876
13.4399995803833,35,116.67938232421875,31.044307708740234,-558.332763671875,-0.013492626138031483
13.449999809265137,36,114.50132751464844,30.807464599609375,-559.7025756835938,-0.013471719808876514
13.460000038146973,35,112.30282592773438,30.5382080078125,-560.9865112304688,-0.013450813479721546
13.470000267028809,36,110.07959747314453,30.27810287475586,-562.288330078125,-0.013429907150566578
13.479999542236328,35,107.84746551513672,30.01401710510254,-563.5834350585938,-0.01340900082141161
13.489999771118164,34,105.61088562011719,29.738285064697266,-564.8379516601562,-0.013388094492256641
13.5,36,103.35106658935547,29.462556838989258,-566.0281372070312,-0.01335918065160513
13.510000228881836,35,101.09490966796875,29.169414520263672,-567.188720703125,-0.013317367993295193
13.520000457763672,35,98.81922149658203,28.868032455444336,-568.236328125,-0.01328351255506277
13.529999732971191,36,96.53516387939453,28.558513641357422,-569.2798461914062,-0.013254673220217228
13.539999961853027,35,94.23333740234375,28.24187469482422,-570.3185424804688,-0.013204952701926231
13.550000190734863,35,91.88994598388672,27.91924285888672,-571.2691650390625,-0.013157999143004417
13.5600004196167,36,89.51490020751953,27.57988739013672,-572.2198486328125,-0.013137093745172024
13.569999694824219,36,87.017822265625,27.202810287475586,-573.185791015625,-0.013108354061841965
13.579999923706055,35,84.54216766357422,26.819576263427734,-574.1221313476562,-0.013066543266177177
13.59000015258789,36,82.02237701416016,26.41646385192871,-575.0432739257812,-0.013024730607867241
13.600000381469727,35,79.36250305175781,25.976318359375,-575.980712890625,-0.012982918880879879
13.609999656677246,36,76.71240997314453,25.548587799072266,-576.9313354492188,-0.0129488380625844
13.619999885559082,34,73.98300170898438,25.083131790161133,-577.7321166992188,-0.012927930802106857
13.630000114440918,36,71.18028259277344,24.594417572021484,-578.5388793945312,-0.012907023541629314
13.640000343322754,36,68.31444549560547,24.087003707885742,-579.3743286132812,-0.012886117212474346
13.649999618530273,36,65.40789794921875,23.568706512451172,-580.2085571289062,-0.01285757776349783
13.65999984741211,36,62.50135040283203,23.056133270263672,-580.94580078125,-0.012823371216654778
13.670000076293945,36,59.587684631347656,22.530017852783203,-581.67236328125,-0.012794882990419865
13.680000305175781,36,56.66023635864258,21.990497589111328,-582.3658447265625,-0.012753069400787354
13.6899995803833,36,53.74229431152344,21.446109771728516,-583.0396728515625,-0.012711255811154842
13.699999809265137,36,50.817317962646484,20.89897346496582,-583.6787109375,-0.012669442221522331
13.710000038146973,36,47.82822036743164,20.343612670898438,-584.238037109375,-0.01262762863188982
13.720000267028809,36,44.8101692199707,19.77448081970215,-584.7208251953125,-0.012585815042257309
13.729999542236328,34,41.780311584472656,19.182918548583984,-585.2125244140625,-0.012544002383947372
13.739999771118164,34,38.73280715942383,18.57956314086914,-585.6646118164062,-0.012494783848524094
13.75,34,35.66656494140625,17.96575927734375,-586.0556030273438,-0.012439446523785591
13.760000228881836,36,32.580406188964844,17.337059020996094,-586.3908081054688,-0.01239763479679823
13.770000457763672,34,29.447128295898438,16.679550170898438,-586.746337890625,-0.012355822138488293
13.779999732971191,36,26.313852310180664,16.00986099243164,-586.9535522460938,-0.012306703254580498
13.789999961853027,36,23.17122459411621,15.335989952087402,-587.1416015625,-0.01225854642689228
13.800000190734863,36,20.011310577392578,14.655210494995117,-587.2880859375,-0.012223129160702229
13.8100004196167,34,16.805574417114258,13.9578218460083,-587.35205078125,-0.012167640961706638
13.819999694824219,36,13.456727027893066,13.219009399414062,-587.3408203125,-0.012118623591959476
13.829999923706055,34,10.221955299377441,12.493349075317383,-587.3887329101562,-0.012063085101544857
13.84000015258789,36,6.975027561187744,11.734172821044922,-587.2924194335938,-0.01201411709189415
13.850000381469727,36,3.7156448364257812,10.955087661743164,-587.1193237304688,-0.01195139717310667
13.859999656677246,34,0.45486152172088623,10.166230201721191,-586.92529296875,-0.011888678185641766
13.869999885559082,36,-2.797351598739624,9.363790512084961,-586.7081909179688,-0.011833040043711662
13.880000114440918,36,-5.915958404541016,8.571938514709473,-586.408935546875,-0.011784172616899014
13.890000343322754,36,-9.10266399383545,7.782808780670166,-586.0435791015625,-0.011721452698111534
13.899999618530273,37,-12.203351020812988,7.017106056213379,-585.5923461914062,-0.011658732779324055
13.90999984741211,36,-15.212485313415527,6.259565353393555,-585.0946044921875,-0.011589033529162407
13.920000076293945,36,-18.218610763549805,5.476929187774658,-584.6190185546875,-0.011512362398207188
13.930000305175781,37,-21.110294342041016,4.723978042602539,-584.0875854492188,-0.011449643410742283
13.9399995803833,37,-23.998878479003906,3.9562840461730957,-583.481201171875,-0.011393829248845577
13.949999809265137,37,-26.95834732055664,3.1729063987731934,-582.8082275390625,-0.011345136910676956
13.960000038146973,37,-29.92829132080078,2.383673667907715,-582.1064453125,-0.011289272457361221
13.970000267028809,37,-32.837860107421875,1.5989069938659668,-581.4049682617188,-0.01124063041061163
13.979999542236328,37,-35.7667121887207,0.8141403794288635,-580.6452026367188,-0.011184715665876865
13.989999771118164,37,-38.678794860839844,0.03256405144929886,-579.8583984375,-0.01114968303591013
14,37,-41.735904693603516,-0.8031110763549805,-578.9383544921875,-0.011115267872810364
14.010000228881836,37,-44.842735290527344,-1.6610161066055298,-577.9149169921875,-0.01105927862226963
14.020000457763672,34,-47.89601516723633,-2.506462574005127,-576.8430786132812,-0.011010761372745037
14.029999732971191,37,-50.8546028137207,-3.3265788555145264,-575.7801513671875,-0.010954719968140125
14.039999961853027,37,-53.79514694213867,-4.150127410888672,-574.6591186523438,-0.010906253941357136
14.050000190734863,37,-56.72966003417969,-4.9894328117370605,-573.4755859375,-0.01085016317665577
14.0600004196167,37,-59.6678581237793,-5.830722808837891,-572.2232055664062,-0.010808350518345833
14.069999694824219,37,-62.60348129272461,-6.674289226531982,-570.8837890625,-0.010766538791358471
14.079999923706055,37,-65.51908111572266,-7.535240173339844,-569.4335327148438,-0.010718172416090965
14.09000015258789,37,-68.47394561767578,-8.443731307983398,-567.9365234375,-0.010661981999874115
14.100000381469727,37,-71.47977447509766,-9.372178077697754,-566.3096923828125,-0.010620169341564178
14.109999656677246,37,-74.49996185302734,-10.319608688354492,-564.6495971679688,-0.010571878403425217
14.119999885559082,37,-77.43181610107422,-11.254705429077148,-562.9943237304688,-0.010502706281840801
14.130000114440918,37,-80.20612335205078,-12.154669761657715,-561.333984375,-0.010419081896543503
14.140000343322754,34,-83.11639404296875,-13.130325317382812,-559.530029296875,-0.010329053737223148
14.149999618530273,37,-86.0591812133789,-14.090517044067383,-557.6508178710938,-0.010230899788439274
14.15999984741211,34,-89.1092300415039,-15.118856430053711,-555.5181884765625,-0.010140920989215374
14.170000076293945,37,-92.2043228149414,-16.193653106689453,-553.218017578125,-0.010036388412117958
14.180000305175781,37,-95.28314971923828,-17.277647018432617,-550.8298950195312,-0.00992555357515812
14.1899995803833,37,-98.36811065673828,-18.355819702148438,-548.2476196289062,-0.009793837554752827
14.199999809265137,36,-101.4740982055664,-19.50068473815918,-545.6228637695312,-0.009653745219111443
14.210000038146973,34,-104.57872009277344,-20.66713523864746,-542.9078369140625,-0.009515851736068726
14.220000267028809,34,-107.6858139038086,-21.837373733520508,-540.0963134765625,-0.009361005388200283
14.229999542236328,34,-110.80496978759766,-23.014297485351562,-537.185302734375,-0.009229389950633049
14.239999771118164,37,-113.94918060302734,-24.223304748535156,-534.1718139648438,-0.009083045646548271
14.25,37,-117.07502746582031,-25.435806274414062,-531.095458984375,-0.008942827582359314
14.260000228881836,37,-120.09085083007812,-26.642799377441406,-527.9782104492188,-0.00881128665059805
14.270000457763672,37,-123.11605072021484,-27.873321533203125,-524.77587890625,-0.008677097037434578
14.279999732971191,37,-126.15171813964844,-29.126922607421875,-521.47607421875,-0.00856651272624731
14.289999961853027,37,-129.1342315673828,-30.3870792388916,-518.0875854492188,-0.008435048162937164
14.300000190734863,37,-132.0928192138672,-31.6667423248291,-514.595703125,-0.00830070674419403
14.3100004196167,38,-134.84353637695312,-32.871524810791016,-511.1864013671875,-0.00819617509841919
14.319999694824219,35,-137.52255249023438,-34.07149887084961,-507.78961181640625,-0.008091643452644348
14.329999923706055,37,-140.19851684570312,-35.293113708496094,-504.3356628417969,-0.007993037812411785
14.34000015258789,38,-142.89552307128906,-36.53728485107422,-500.7881774902344,-0.007909412495791912
14.350000381469727,38,-145.54188537597656,-37.76039123535156,-497.2215576171875,-0.007831663824617863
14.359999656677246,35,-148.09974670410156,-38.97378158569336,-493.699462890625,-0.00777479587122798
14.369999885559082,38,-150.5758819580078,-40.18386459350586,-490.1865539550781,-0.007732982747256756
14.380000114440918,38,-152.97769165039062,-41.35624313354492,-486.6878356933594,-0.007702772039920092
14.390000343322754,38,-155.294921875,-42.480064392089844,-483.2027282714844,-0.007702772039920092
14.399999618530273,38,-157.48411560058594,-43.59004211425781,-479.7146911621094,-0.007708522956818342
14.40999984741211,38,-159.5526123046875,-44.66175842285156,-476.248779296875,-0.007735155522823334
14.420000076293945,38,-161.5325927734375,-45.722232818603516,-472.8028564453125,-0.007776967715471983
14.430000305175781,38,-163.50897216796875,-46.799354553222656,-469.2897033691406,-0.00783013179898262
14.4399995803833,38,-165.47039794921875,-47.88207244873047,-465.7283935546875,-0.007908106781542301
14.449999809265137,38,-167.3300018310547,-48.9306640625,-462.21649169921875,-0.00797082670032978
14.460000038146973,36,-169.07688903808594,-49.955810546875,-458.6797790527344,-0.008044746704399586
14.470000267028809,38,-170.60440063476562,-50.88242721557617,-455.3916015625,-0.008132552728056908
14.479999542236328,38,-172.0378875732422,-51.76456069946289,-452.1272888183594,-0.008179915137588978
14.489999771118164,38,-173.4207000732422,-52.6393928527832,-448.8174743652344,-0.008237109519541264
14.5,38,-174.75640869140625,-53.52207565307617,-445.4800109863281,-0.0082789221778512
14.510000228881836,38,-175.99411010742188,-54.345733642578125,-442.2576904296875,-0.008320734836161137
14.520000457763672,38,-177.1624755859375,-55.16624450683594,-439.04534912109375,-0.008351648226380348
14.529999732971191,39,-178.26365661621094,-55.99099349975586,-435.78277587890625,-0.008362497203052044
14.539999961853027,39,-179.30740356445312,-56.81071090698242,-432.52154541015625,-0.008409710600972176
14.550000190734863,39,-180.30621337890625,-57.610836029052734,-429.3020324707031,-0.0084670539945364
14.5600004196167,39,-181.2688751220703,-58.37085723876953,-426.09466552734375,-0.00850351620465517
14.569999694824219,36,-182.15687561035156,-59.1342658996582,-422.8980407714844,-0.008524422533810139
14.579999923706055,39,-182.99034118652344,-59.879913330078125,-419.7073669433594,-0.008540029637515545
14.59000015258789,39,-183.79701232910156,-60.61178207397461,-416.52056884765625,-0.008540029637515545
14.600000381469727,39,-184.58653259277344,-61.33827590942383,-413.3066711425781,-0.008534780703485012
14.609999656677246,39,-185.34681701660156,-62.069923400878906,-410.01171875,-0.008519099093973637
14.619999885559082,40,-186.04185485839844,-62.798126220703125,-406.8043212890625,-0.008519099093973637
14.630000114440918,40,-186.6986083984375,-63.498329162597656,-403.60882568359375,-0.00850875023752451
14.640000343322754,40,-187.31207275390625,-64.17536926269531,-400.435302734375,-0.008477236144244671
14.649999618530273,40,-187.88720703125,-64.8399429321289,-397.271728515625,-0.008477236144244671
14.65999984741211,40,-188.43450927734375,-65.50286865234375,-394.08929443359375,-0.008477236144244671
14.670000076293945,40,-188.9548797607422,-66.14977264404297,-390.8220520019531,-0.008477235212922096
14.680000305175781,40,-189.44004821777344,-66.78450775146484,-387.57415771484375,-0.008477235212922096
14.6899995803833,40,-189.8985137939453,-67.43058776855469,-384.29412841796875,-0.008482259698212147
14.699999809265137,40,-190.33865356445312,-68.06781005859375,-381.02423095703125,-0.008503166027367115
14.710000038146973,40,-190.75897216796875,-68.6822280883789,-377.7879943847656,-0.008514124900102615
14.720000267028809,40,-191.12319946289062,-69.31145477294922,-374.47955322265625,-0.00850311666727066
14.729999542236328,40,-191.43565368652344,-69.92097473144531,-371.1885681152344,-0.008519099093973637
14.739999771118164,40,-191.7079315185547,-70.51422119140625,-367.9301452636719,-0.008523997850716114
14.75,40,-191.9488983154297,-71.0781021118164,-364.63507080078125,-0.008549777790904045
14.760000228881836,40,-192.16163635253906,-71.6186752319336,-361.2938232421875,-0.008586742915213108
14.770000457763672,40,-192.34002685546875,-72.17012786865234,-357.992919921875,-0.008612471632659435
14.779999732971191,41,-192.47024536132812,-72.71101379394531,-354.6957702636719,-0.008649486117064953
14.789999961853027,40,-192.57191467285156,-73.265380859375,-351.3155822753906,-0.008670392446219921
14.800000190734863,41,-192.63320922851562,-73.79571533203125,-348.0670471191406,-0.008691297844052315
14.8100004196167,41,-192.65554809570312,-74.30227661132812,-344.9089050292969,-0.008716926909983158
14.819999694824219,41,-192.64889526367188,-74.80992126464844,-341.6349792480469,-0.00875874049961567
14.829999923706055,41,-192.60057067871094,-75.29774475097656,-338.3190612792969,-0.008800553157925606
