Time (s),Force (N),Displacement (m)
54.84000015,-2.226657629,0.1669111252
54.84999847,-2.214754105,0.1659112722
54.86000061,-2.204460382,0.1649114341
54.86999893,-2.194330931,0.1639116108
54.88000107,-2.184037209,0.1629117876
54.88999939,-2.173825741,0.1619119495
54.90000153,-2.161757469,0.1609121114
54.90999985,-2.150617838,0.1599122733
54.91999817,-2.140487194,0.1589124501
54.93000031,-2.1291852,0.157912612
54.93999863,-2.11719799,0.1569127589
54.95000076,-2.106058121,0.1558955163
54.95999908,-2.095846415,0.1547131091
54.97000122,-2.083858728,0.153713271
54.97999954,-2.074495077,0.1527134478
54.99000168,-2.063355207,0.1517136097
55,-2.052135229,0.1507310122
55.00999832,-2.039218426,0.1499139518
55.02000046,-2.027999163,0.1489141136
55.02999878,-2.015081882,0.1479142755
55.04000092,-2.003942013,0.1469144374
55.04999924,-1.992802262,0.1459145993
55.06000137,-1.980575681,0.1449147761
55.06999969,-1.966808915,0.143914938
55.08000183,-1.955590248,0.1429150999
55.09000015,-1.941665292,0.1419152617
55.09999847,-1.929754138,0.1409154385
55.11000061,-1.920392632,0.1399156004
55.11999893,-1.909252644,0.1389157623
55.13000107,-1.898112774,0.1379159242
55.13999939,-1.886972904,0.136916101
55.15000153,-1.87591064,0.1359162778
55.15999985,-1.866549969,0.1349164397
55.16999817,-1.854481459,0.1339332759
55.18000031,-1.84527576,0.1331334114
55.18999863,-1.834987044,0.1323335469
55.20000076,-1.823847055,0.1315336674
55.20999908,-1.812707186,0.1307338178
55.22000122,-1.801567316,0.1299339533
55.22999954,-1.79050386,0.1291340888
55.24000168,-1.781144381,0.1283342093
55.25,-1.771009088,0.1275343299
55.25999832,-1.761725783,0.1267344803
55.27000046,-1.752442598,0.1259346157
55.27999878,-1.742230773,0.1251347363
55.29000092,-1.732872009,0.1243348792
55.29999924,-1.722736001,0.1235512495
55.31000137,-1.712448955,0.1229513586
55.31999969,-1.702312708,0.12233527
55.33000183,-1.692101002,0.1215515509
55.34000015,-1.683746219,0.12095166
55.34999847,-1.674537539,0.1203356683
55.36000061,-1.667111039,0.1195518523
55.36999893,-1.660687208,0.1189519465
55.38000107,-1.653111935,0.1183360666
55.38999939,-1.644831181,0.1175521538
55.40000153,-1.63740468,0.1169522554
55.40999985,-1.629977942,0.116352357
55.41999817,-1.62162292,0.1157524511
55.43000031,-1.614196301,0.1151525527
55.43999863,-1.607698202,0.1145368591
55.45000076,-1.600198507,0.1137527525
55.45999908,-1.590059876,0.113137126
55.47000122,-1.583561778,0.1123529449
55.47999954,-1.575134039,0.1117530391
55.49000168,-1.566779256,0.1111531481
